variant_id,cfe_ext,jmas_ext,avg_commute,profile3_avg_commute,mean_freeflow_border_time,mean_dynamic_border_time,overloads,hazards,water,assigned_projects,model,solver_status,objective_value,solver_runtime_sec,network_topology,dynamic_stgnn,cfe_capacity,environmental_constraints,parameter,variation,weight_alpha,weight_beta,weight_gamma,weight_delta_worker_commute,allocation_signature,same_as_baseline,assignment_changes_vs_baseline,selected_plot_set_changes_vs_baseline
synthetic_stgnn_milp,25575.60852485186,25872.12894960291,14.340324046235244,2.97640273324014,28.379195887096067,34.43140666666666,0,0,0,15,Synthetic-STGNN MILP,Optimal,1867046.2141508688,0.4453079999948386,True,True,True,True,beta,0.0,1.0,1.0,2.0,2500.0,1:0;2:3;3:4;4:26;5:2;6:9;7:8;8:6;9:5;10:1;11:46;12:48;13:47;14:49;15:41,True,0,0
synthetic_stgnn_milp,25575.60852485186,25872.12894960291,14.340324046235244,2.97640273324014,28.379195887096067,34.43140666666666,0,0,0,15,Synthetic-STGNN MILP,Optimal,1869633.427045829,0.5620612000057008,True,True,True,True,beta,0.1,1.0,1.1,2.0,2500.0,1:0;2:3;3:4;4:26;5:2;6:9;7:8;8:6;9:5;10:1;11:46;12:48;13:47;14:49;15:41,True,0,0
synthetic_stgnn_milp,25575.60852485186,25872.12894960291,14.340324046235244,2.97640273324014,28.379195887096067,34.43140666666666,0,0,0,15,Synthetic-STGNN MILP,Optimal,1872220.6399407897,0.5412363999930676,True,True,True,True,beta,0.2,1.0,1.2,2.0,2500.0,1:0;2:3;3:4;4:26;5:2;6:9;7:8;8:6;9:5;10:1;11:46;12:48;13:47;14:49;15:41,True,0,0
synthetic_stgnn_milp,25575.60852485186,25872.12894960291,14.340324046235244,2.97640273324014,28.379195887096067,34.43140666666666,0,0,0,15,Synthetic-STGNN MILP,Optimal,1874807.8528357497,0.559178100025747,True,True,True,True,beta,0.3,1.0,1.3,2.0,2500.0,1:0;2:3;3:4;4:26;5:2;6:9;7:8;8:6;9:5;10:1;11:46;12:48;13:47;14:49;15:41,True,0,0
synthetic_stgnn_milp,25575.60852485186,25872.12894960291,14.340324046235244,2.97640273324014,28.379195887096067,34.43140666666666,0,0,0,15,Synthetic-STGNN MILP,Optimal,1864824.4820408688,0.5129653999756556,True,True,True,True,gamma,-0.3,1.0,1.0,1.4,2500.0,1:0;2:3;3:4;4:26;5:2;6:9;7:8;8:6;9:5;10:1;11:46;12:48;13:47;14:49;15:41,True,0,0
synthetic_stgnn_milp,25575.60852485186,25872.12894960291,14.340324046235244,2.97640273324014,28.379195887096067,34.43140666666666,0,0,0,15,Synthetic-STGNN MILP,Optimal,1865565.059410869,0.5463694999925792,True,True,True,True,gamma,-0.2,1.0,1.0,1.6,2500.0,1:0;2:3;3:4;4:26;5:2;6:9;7:8;8:6;9:5;10:1;11:46;12:48;13:47;14:49;15:41,True,0,0
synthetic_stgnn_milp,25575.60852485186,25872.12894960291,14.340324046235244,2.97640273324014,28.379195887096067,34.43140666666666,0,0,0,15,Synthetic-STGNN MILP,Optimal,1866305.6367808688,0.5867869000067003,True,True,True,True,gamma,-0.1,1.0,1.0,1.8,2500.0,1:0;2:3;3:4;4:26;5:2;6:9;7:8;8:6;9:5;10:1;11:46;12:48;13:47;14:49;15:41,True,0,0
synthetic_stgnn_milp,25575.60852485186,25872.12894960291,14.340324046235244,2.97640273324014,28.379195887096067,34.43140666666666,0,0,0,15,Synthetic-STGNN MILP,Optimal,1867046.2141508688,0.6950938000227325,True,True,True,True,gamma,0.0,1.0,1.0,2.0,2500.0,1:0;2:3;3:4;4:26;5:2;6:9;7:8;8:6;9:5;10:1;11:46;12:48;13:47;14:49;15:41,True,0,0
synthetic_stgnn_milp,25575.60852485186,25872.12894960291,14.340324046235244,2.97640273324014,28.379195887096067,34.43140666666666,0,0,0,15,Synthetic-STGNN MILP,Optimal,1867786.7915208687,0.6756061000050977,True,True,True,True,gamma,0.1,1.0,1.0,2.2,2500.0,1:0;2:3;3:4;4:26;5:2;6:9;7:8;8:6;9:5;10:1;11:46;12:48;13:47;14:49;15:41,True,0,0
synthetic_stgnn_milp,25575.60852485186,25872.12894960291,14.340324046235244,2.97640273324014,28.379195887096067,34.43140666666666,0,0,0,15,Synthetic-STGNN MILP,Optimal,1868527.368890869,0.5391107999894302,True,True,True,True,gamma,0.2,1.0,1.0,2.4,2500.0,1:0;2:3;3:4;4:26;5:2;6:9;7:8;8:6;9:5;10:1;11:46;12:48;13:47;14:49;15:41,True,0,0
synthetic_stgnn_milp,25575.60852485186,25872.12894960291,14.340324046235244,2.97640273324014,28.379195887096067,34.43140666666666,0,0,0,15,Synthetic-STGNN MILP,Optimal,1869267.9462608688,0.4560132999904454,True,True,True,True,gamma,0.3,1.0,1.0,2.6,2500.0,1:0;2:3;3:4;4:26;5:2;6:9;7:8;8:6;9:5;10:1;11:46;12:48;13:47;14:49;15:41,True,0,0
synthetic_stgnn_milp,25575.60852485186,25872.12894960291,14.340324046235244,2.97640273324014,28.379195887096067,34.43140666666666,0,0,0,15,Synthetic-STGNN MILP,Optimal,1855884.7039012183,0.548792699992191,True,True,True,True,delta_worker_commute,-0.3,1.0,1.0,2.0,1750.0,1:0;2:3;3:4;4:26;5:2;6:9;7:8;8:6;9:5;10:1;11:46;12:48;13:47;14:49;15:41,True,0,0
synthetic_stgnn_milp,25575.60852485186,25872.12894960291,14.340324046235244,2.97640273324014,28.379195887096067,34.43140666666666,0,0,0,15,Synthetic-STGNN MILP,Optimal,1859605.2073177686,0.6349296999978833,True,True,True,True,delta_worker_commute,-0.2,1.0,1.0,2.0,2000.0,1:0;2:3;3:4;4:26;5:2;6:9;7:8;8:6;9:5;10:1;11:46;12:48;13:47;14:49;15:41,True,0,0
synthetic_stgnn_milp,25575.60852485186,25872.12894960291,14.340324046235244,2.97640273324014,28.379195887096067,34.43140666666666,0,0,0,15,Synthetic-STGNN MILP,Optimal,1863325.7107343185,0.5324768999998923,True,True,True,True,delta_worker_commute,-0.1,1.0,1.0,2.0,2250.0,1:0;2:3;3:4;4:26;5:2;6:9;7:8;8:6;9:5;10:1;11:46;12:48;13:47;14:49;15:41,True,0,0
synthetic_stgnn_milp,25575.60852485186,25872.12894960291,14.340324046235244,2.97640273324014,28.379195887096067,34.43140666666666,0,0,0,15,Synthetic-STGNN MILP,Optimal,1867046.2141508688,0.5199423999874853,True,True,True,True,delta_worker_commute,0.0,1.0,1.0,2.0,2500.0,1:0;2:3;3:4;4:26;5:2;6:9;7:8;8:6;9:5;10:1;11:46;12:48;13:47;14:49;15:41,True,0,0
synthetic_stgnn_milp,25575.60852485186,25872.12894960291,14.340324046235244,2.97640273324014,28.379195887096067,34.43140666666666,0,0,0,15,Synthetic-STGNN MILP,Optimal,1870766.717567419,0.39707850001286715,True,True,True,True,delta_worker_commute,0.1,1.0,1.0,2.0,2750.0,1:0;2:3;3:4;4:26;5:2;6:9;7:8;8:6;9:5;10:1;11:46;12:48;13:47;14:49;15:41,True,0,0
synthetic_stgnn_milp,25575.60852485186,25872.12894960291,14.340324046235244,2.97640273324014,28.379195887096067,34.43140666666666,0,0,0,15,Synthetic-STGNN MILP,Optimal,1874487.2209839693,0.5154963000095449,True,True,True,True,delta_worker_commute,0.2,1.0,1.0,2.0,3000.0,1:0;2:3;3:4;4:26;5:2;6:9;7:8;8:6;9:5;10:1;11:46;12:48;13:47;14:49;15:41,True,0,0
synthetic_stgnn_milp,25575.60852485186,25872.12894960291,14.340324046235244,2.97640273324014,28.379195887096067,34.43140666666666,0,0,0,15,Synthetic-STGNN MILP,Optimal,1878207.724400519,0.46613860002253205,True,True,True,True,delta_worker_commute,0.3,1.0,1.0,2.0,3250.0,1:0;2:3;3:4;4:26;5:2;6:9;7:8;8:6;9:5;10:1;11:46;12:48;13:47;14:49;15:41,True,0,0
